DEPARTURE_AIRPORT_IATA,ARRIVAL_AIRPORT_IATA,tot_ALLARMI CHIUSI,tot_ALLARMI CHIUSI CON AZIONE (CC.XX),tot_ALLARMI GENERATI,tot_ALLARMI GENERATI DA SDI/NSIS,tot_ALLARMI RILEVANTI,tot_ERRATA SEGNALAZIONE NSIS,tot_ERRATA SEGNALAZIONE SDI,tot_MANCATO AGGIORNAMENTO SDI,tot_N/C,tot_NOTIFICA ATTI/PROVV,tot_NULLA A PROCEDERE SDI,tot_VIAGGIATORI CON ALLARMI,tot_VIAGGIATORI ENTRATI NEL SISTEMA,tot_VIAGGIATORI INVESTIGATI,tot_VOLI CON ALLARMI,tot_VOLI DISPONIBILI IN INGRESSO AL SISTEMA,tot_VOLI INVESTIGATI (SDI/NSIS - INTERPOL - TSC),"tot_VOLI SOLO VISUALIZZATI, MA NON INVESTIGATI",DEPARTURE_CITY,DEPARTURE_COUNTRY,n_high_risk,n_medium_risk,tot_entries,tot_investigated,tot_alarms,n_records,alarm_intensity,alert_rate,investigation_rate,alert_rate_ALB,alert_rate_AFG,alert_rate_AGO,alert_rate_doc_CARTA D'IDENTITÀ,alert_rate_doc_PASSAPORTO,alert_rate_doc_VISTO,pct_IN ATTESA,pct_SEGNALATO,pct_RESPINTO,pct_OK,route,if_anomaly,if_score,lof_anomaly,lof_score,dbscan_anomaly,z_max,z_anomaly,anomaly_votes,anomaly_consensus
IST,BGY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0,0.0,0.0,0.0,0.0,0.0,ISTANBUL,TURCHIA,0.0,0.0,3.0,3.0,2.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,IST→BGY,0,-0.06758822784893054,0,1.0050057642904808,0,,0,0,0
IST,BLQ,58.0,0.0,1.0,125.0,3.0,0.0,0.0,0.0,0.0,1.0,22.0,43.0,764.0,316.0,3.0,6.0,5.0,3.0,ISTANBUL,TURCHIA,0.0,0.0,18.0,17.0,5.0,18.0,0.29411764705882354,0.29411764705882354,0.9444444444444444,0.21428571428571427,0.6666666666666666,0.0,0.0,0.25,0.6666666666666666,0.0625,0.25,0.1875,0.3125,IST→BLQ,0,-0.0016727801006120036,0,1.0015196481623543,0,,0,0,0
IST,BRI,0.0,0.0,0.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,23.0,133.0,0.0,1.0,1.0,0.0,0.0,ISTANBUL,TURCHIA,0.0,0.0,14.0,14.0,3.0,9.0,0.21428571428571427,0.21428571428571427,1.0,0.16666666666666666,1.0,0.0,0.16666666666666666,0.0,0.0,0.2857142857142857,0.0,0.42857142857142855,0.14285714285714285,IST→BRI,0,-0.045884906811016424,1,1.0153399187351813,0,,0,1,0
IST,CAG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,ISTANBUL,TURCHIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IST→CAG,0,-0.10565390920024792,0,0.9924332277930392,0,,0,0,0
IST,CTA,0.0,0.0,0.0,43.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,43.0,66.0,107.0,2.0,0.0,1.0,3.0,ISTANBUL,TURCHIA,0.0,0.0,7.0,8.0,8.0,3.0,1.0,1.0,1.1428571428571428,1.0,0.0,0.0,1.1428571428571428,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,IST→CTA,0,-0.008024923561777864,0,1.0116430728974952,0,,0,0,0
IST,FCO,16.0,0.0,0.0,73.0,0.0,0.0,1.0,0.0,1.0,0.0,57.0,57.0,922.0,1407.0,7.0,3.0,4.0,11.0,ISTANBUL,TURCHIA,0.0,0.0,34.0,34.0,13.0,20.0,0.38235294117647056,0.38235294117647056,1.0,0.5454545454545454,0.6363636363636364,0.0,0.5,0.16666666666666666,1.0,0.42857142857142855,0.21428571428571427,0.14285714285714285,0.07142857142857142,IST→FCO,0,-0.0060625826146889494,0,0.9955637312010007,0,,0,0,0
IST,MXP,40.0,0.0,0.0,94.0,4.0,1.0,0.0,0.0,0.0,0.0,5.0,36.0,1240.0,704.0,7.0,7.0,3.0,7.0,ISTANBUL,TURCHIA,0.0,0.0,53.0,54.0,30.0,35.0,0.5555555555555556,0.5555555555555556,1.0188679245283019,0.35135135135135137,1.2307692307692308,0.0,1.0,0.875,0.125,0.3103448275862069,0.2413793103448276,0.1724137931034483,0.1724137931034483,IST→MXP,1,0.0020445090118590414,0,0.9913106445948962,0,,0,1,0
IST,NAP,5.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,25.0,340.0,681.0,4.0,3.0,3.0,4.0,ISTANBUL,TURCHIA,0.0,0.0,3.0,3.0,2.0,3.0,0.6666666666666666,0.6666666666666666,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,IST→NAP,0,-0.053555347351442295,0,1.0142548882881401,0,,0,0,0
IST,PMO,7.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.0,34.0,2.0,1.0,0.0,1.0,ISTANBUL,TURCHIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IST→PMO,0,-0.06709646998943114,0,1.0018082655534057,0,,0,0,0
IST,PSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ISTANBUL,TURCHIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IST→PSA,0,-0.11168787218668902,0,0.9903044336179321,0,,0,0,0
IST,TRN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,IST→TRN,0,-0.07551117814578573,0,0.9914417634404598,0,,0,0,0
IST,VCE,38.0,1.0,0.0,74.0,2.0,0.0,0.0,0.0,0.0,0.0,29.0,123.0,1141.0,1069.0,3.0,4.0,4.0,6.0,ISTANBUL,TURCHIA,0.0,0.0,23.0,23.0,18.0,18.0,0.782608695652174,0.782608695652174,1.0,0.7777777777777778,1.0,0.0,0.5,1.0,5.0,0.2727272727272727,0.2727272727272727,0.18181818181818182,0.09090909090909091,IST→VCE,0,-0.026117849086582212,0,0.9903044336179321,0,,0,0,0
